;Codigo_Valor;Nombre;Valor;Year;Indicador;lau_id
145;ES_28175_2700_2015;Villamantilla;18890.0;2015;2700;ES_28175
146;ES_28178_2700_2015;Villanueva de Perales;23229.0;2015;2700;ES_28178
147;ES_28176_2700_2015;Villanueva de la Cañada;360254.0;2015;2700;ES_28176
148;ES_28177_2700_2015;Villanueva del Pardillo;197776.0;2015;2700;ES_28177
149;ES_28179_2700_2015;Villar del Olmo;18949.0;2015;2700;ES_28179
150;ES_28180_2700_2015;Villarejo de Salvanés;161827.0;2015;2700;ES_28180
151;ES_28181_2700_2015;Villaviciosa de Odón;557748.0;2015;2700;ES_28181
152;ES_28182_2700_2015;Villavieja del Lozoya;4738.0;2015;2700;ES_28182
153;ES_28183_2700_2015;Zarzalejo;36417.0;2015;2700;ES_28183
154;ES_28001_2700_2016;Acebeda (La);3776.0;2016;2700;ES_28001
155;ES_28002_2700_2016;Ajalvir;282569.0;2016;2700;ES_28002
156;ES_28003_2700_2016;Alameda del Valle;4325.0;2016;2700;ES_28003
157;ES_28004_2700_2016;Alamo (El);127523.0;2016;2700;ES_28004
158;ES_28008_2700_2016;Aldea del Fresno;38442.0;2016;2700;ES_28008
159;ES_28009_2700_2016;Algete;535754.0;2016;2700;ES_28009
160;ES_28010_2700_2016;Alpedrete;185924.0;2016;2700;ES_28010
161;ES_28011_2700_2016;Ambite;7846.0;2016;2700;ES_28011
162;ES_28012_2700_2016;Anchuelo;15169.0;2016;2700;ES_28012
163;ES_28015_2700_2016;Arroyomolinos;515999.0;2016;2700;ES_28015
164;ES_28016_2700_2016;Atazar (El);3201.0;2016;2700;ES_28016
165;ES_28017_2700_2016;Batres;16677.0;2016;2700;ES_28017
166;ES_28018_2700_2016;Becerril de la Sierra;75761.0;2016;2700;ES_28018
167;ES_28019_2700_2016;Belmonte de Tajo;20727.0;2016;2700;ES_28019
168;ES_28021_2700_2016;Berrueco (El);16769.0;2016;2700;ES_28021
169;ES_28020_2700_2016;Berzosa del Lozoya;5008.0;2016;2700;ES_28020
170;ES_28023_2700_2016;Boalo (El);92742.0;2016;2700;ES_28023
171;ES_28024_2700_2016;Braojos;14628.0;2016;2700;ES_28024
172;ES_28025_2700_2016;Brea de Tajo;10692.0;2016;2700;ES_28025
173;ES_28026_2700_2016;Brunete;152801.0;2016;2700;ES_28026
174;ES_28027_2700_2016;Buitrago del Lozoya;46304.0;2016;2700;ES_28027
175;ES_28028_2700_2016;Bustarviejo;37207.0;2016;2700;ES_28028
176;ES_28029_2700_2016;Cabanillas de la Sierra;10432.0;2016;2700;ES_28029
177;ES_28030_2700_2016;Cabrera (La);42417.0;2016;2700;ES_28030
178;ES_28031_2700_2016;Cadalso de los Vidrios;54703.0;2016;2700;ES_28031
179;ES_28032_2700_2016;Camarma de Esteruelas;169060.0;2016;2700;ES_28032
180;ES_28033_2700_2016;Campo Real;141351.0;2016;2700;ES_28033
181;ES_28034_2700_2016;Canencia;7678.0;2016;2700;ES_28034
182;ES_28035_2700_2016;Carabaña;22917.0;2016;2700;ES_28035
183;ES_28036_2700_2016;Casarrubuelos;50885.0;2016;2700;ES_28036
184;ES_28037_2700_2016;Cenicientos;28489.0;2016;2700;ES_28037
185;ES_28038_2700_2016;Cercedilla;132880.0;2016;2700;ES_28038
186;ES_28039_2700_2016;Cervera de Buitrago;2486.0;2016;2700;ES_28039
187;ES_28051_2700_2016;Chapinería;26344.0;2016;2700;ES_28051
188;ES_28052_2700_2016;Chinchón;90431.0;2016;2700;ES_28052
189;ES_28040_2700_2016;Ciempozuelos;637729.0;2016;2700;ES_28040
190;ES_28041_2700_2016;Cobeña;114159.0;2016;2700;ES_28041
191;ES_28046_2700_2016;Collado Mediano;97010.0;2016;2700;ES_28046
192;ES_28043_2700_2016;Colmenar de Oreja;128827.0;2016;2700;ES_28043
193;ES_28042_2700_2016;Colmenar del Arroyo;36955.0;2016;2700;ES_28042
194;ES_28044_2700_2016;Colmenarejo;198014.0;2016;2700;ES_28044
195;ES_28048_2700_2016;Corpa;5668.0;2016;2700;ES_28048
196;ES_28050_2700_2016;Cubas de la Sagra;79261.0;2016;2700;ES_28050
197;ES_28053_2700_2016;Daganzo de Arriba;306244.0;2016;2700;ES_28053
198;ES_28054_2700_2016;Escorial (El);235453.0;2016;2700;ES_28054
199;ES_28055_2700_2016;Estremera;56555.0;2016;2700;ES_28055
200;ES_28056_2700_2016;Fresnedillas de la Oliva;16133.0;2016;2700;ES_28056
201;ES_28057_2700_2016;Fresno de Torote;22416.0;2016;2700;ES_28057
202;ES_28059_2700_2016;Fuente el Saz de Jarama;142165.0;2016;2700;ES_28059
203;ES_28060_2700_2016;Fuentidueña de Tajo;31335.0;2016;2700;ES_28060
204;ES_28061_2700_2016;Galapagar;380086.0;2016;2700;ES_28061
205;ES_28062_2700_2016;Garganta de los Montes;8899.0;2016;2700;ES_28062
206;ES_28063_2700_2016;Gargantilla del Lozoya y Pinilla de Buitrago;9738.0;2016;2700;ES_28063
207;ES_28064_2700_2016;Gascones;5482.0;2016;2700;ES_28064
208;ES_28066_2700_2016;Griñón;315511.0;2016;2700;ES_28066
209;ES_28067_2700_2016;Guadalix de la Sierra;84959.0;2016;2700;ES_28067
210;ES_28068_2700_2016;Guadarrama;225562.0;2016;2700;ES_28068
211;ES_28069_2700_2016;Hiruela (La);3136.0;2016;2700;ES_28069
212;ES_28070_2700_2016;Horcajo de la Sierra-Aoslos;6757.0;2016;2700;ES_28070
213;ES_28071_2700_2016;Horcajuelo de la Sierra;4622.0;2016;2700;ES_28071
214;ES_28072_2700_2016;Hoyo de Manzanares;111089.0;2016;2700;ES_28072
215;ES_28073_2700_2016;Humanes de Madrid;708885.0;2016;2700;ES_28073
216;ES_28075_2700_2016;Loeches;286030.0;2016;2700;ES_28075
217;ES_28076_2700_2016;Lozoya;11182.0;2016;2700;ES_28076
218;ES_28901_2700_2016;Lozoyuela-Navas-Sieteiglesias;34995.0;2016;2700;ES_28901
219;ES_28078_2700_2016;Madarcos;2555.0;2016;2700;ES_28078
220;ES_28082_2700_2016;Manzanares el Real;95249.0;2016;2700;ES_28082
221;ES_28083_2700_2016;Meco;384832.0;2016;2700;ES_28083
222;ES_28084_2700_2016;Mejorada del Campo;447104.0;2016;2700;ES_28084
223;ES_28085_2700_2016;Miraflores de la Sierra;95489.0;2016;2700;ES_28085
224;ES_28086_2700_2016;Molar (El);99159.0;2016;2700;ES_28086
